QR,order,sex,family,genus,lake,method
14934,Hymenoptera,Male,Halictidae,Lasioglossum,S1P,YELLOW
14745,Hymenoptera,Male,Halictidae,Lasioglossum,S3P,YELLOW
14781,Hymenoptera,Male,Halictidae,Lasioglossum,S3P,YELLOW
14858,Hymenoptera,Male,Halictidae,Lasioglossum,S3P,YELLOW
15097,Hymenoptera,Male,Halictidae,Lasioglossum,S3P,YELLOW
14791,Hymenoptera,Female,Halictidae,Lasioglossum,S3P,YELLOW
15038,Hymenoptera,Male,Halictidae,Lasioglossum,S3P,WHITE
14805,Hymenoptera,Male,Halictidae,Lasioglossum,S2P,YELLOW
14709,Hymenoptera,Female,Halictidae,Lasioglossum,S2A,WHITE
15081,Hymenoptera,Female,Halictidae,Lasioglossum,S2A,WHITE
14864,Hymenoptera,Male,Halictidae,Lasioglossum,S4P,YELLOW
15233,Hymenoptera,Male,Halictidae,Lasioglossum,S4P,YELLOW
15001,Hymenoptera,Female,Halictidae,Lasioglossum,S4P,YELLOW
15190,Hymenoptera,Male,Halictidae,Lasioglossum,S1A,YELLOW
15132,Hymenoptera,Male,Halictidae,Lasioglossum,S1A,YELLOW
15187,Hymenoptera,Male,Halictidae,Lasioglossum,S1A,YELLOW
14865,Hymenoptera,Male,Halictidae,Lasioglossum,S1A,YELLOW
14925,Hymenoptera,Male,Halictidae,Lasioglossum,S1A,YELLOW
15201,Hymenoptera,Male,Halictidae,Lasioglossum,S1A,YELLOW
19789,Hymenoptera,Male,Halictidae,Lasioglossum,Y3P,BLUE
15145,Hymenoptera,Male,Halictidae,Lasioglossum,S2A,WHITE
15142,Hymenoptera,Male,Halictidae,Lasioglossum,S2A,WHITE
14912,Hymenoptera,Male,Halictidae,Lasioglossum,S2A,WHITE
15044,Hymenoptera,Female,Halictidae,Lasioglossum,S2P,YELLOW
14799,Hymenoptera,?,Halictidae,Lasioglossum,S3P,YELLOW
14936,Hymenoptera,?,Halictidae,Lasioglossum,S1P,YELLOW
14721,Hymenoptera,?,Halictidae,Lasioglossum,S3P,YELLOW
12599,Hymenoptera,?,Halictidae,Lasioglossum,?,HAND
12523,Hymenoptera,?,Halictidae,Lasioglossum,?,HAND
12567,Hymenoptera,?,Halictidae,Lasioglossum,?,HAND
12512,Hymenoptera,?,Halictidae,Lasioglossum,?,HAND
15085,Hymenoptera,?,Halictidae,Lasioglossum,S2A,WHITE
14757,Hymenoptera,?,Halictidae,Lasioglossum,S2P,YELLOW
12749,Hymenoptera,?,Halictidae,Lasioglossum,?,HAND
1558,Hymenoptera,?,Halictidae,Lasioglossum,S2A,WHITE
12830,Hymenoptera,?,Halictidae,Lasioglossum,?,?
14924,Hymenoptera,?,Halictidae,Lasioglossum,S3P,BLUE
19746,Hymenoptera,?,Halictidae,Lasioglossum,?,WHITE
19787,Hymenoptera,?,Halictidae,Lasioglossum,Y3P,YELLOW
19752,Hymenoptera,?,Halictidae,Lasioglossum,?,WHITE
19745,Hymenoptera,?,Halictidae,Lasioglossum,?,WHITE
12645,Hymenoptera,Male,Halictidae,Lasioglossum,?,Hand
12824,Hymenoptera,Male,Halictidae,Lasioglossum,?,Hand
12645,Hymenoptera,Male,Halictidae,Lasioglossum,?,Hand
12504,Hymenoptera,Female,Halictidae,Lasioglossum,?,Hand
19782,Hymenoptera,Male,Halictidae,Lasioglossum,?,White
14701,Hymenoptera,Male,Megachilidae,Ashmeadiella,Y1A,Blue
12662,Hymenoptera,Male,Megachilidae,Ashmeadiella,Y3A,Hand
12637,Hymenoptera,Female,Megachilidae,Ashmeadiella,Y3A,Hand
15078,Hymenoptera,Male,Megachilidae,Ashmeadiella,Y1A,Blue
12555,Hymenoptera,Female,Megachilidae,Ashmeadiella,?,Field
12616,Hymenoptera,Female,Megachilidae,Ashmeadiella,?,?
12695,Hymenoptera,Male,Colletidae,Hylaeus,Y3A,HAND
12771,Hymenoptera,Male,Colletidae,Hylaeus,?,FIELD
12705,Hymenoptera,Male,Colletidae,Hylaeus,,
19547,Hymenoptera,Male,Colletidae,Hylaeus,Y3P,HAND
12690,Hymenoptera,Male,Colletidae,Hylaeus,Y3A,HAND
19768,Hymenoptera,Male,Colletidae,Hylaeus,,WHITE
19547,Hymenoptera,Male,Colletidae,Hylaeus,Y3P,HAND
12623,Hymenoptera,Male,Colletidae,Hylaeus,Y3P,HAND
12773,Hymenoptera,Female,Colletidae,Hylaeus,,HAND 
12800,Hymenoptera,Female,Colletidae,Hylaeus,Y3P,HAND
12669,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
12585,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
14761,Hymenoptera,Female,Colletidae,Hylaeus,S3P,YELLOW
12546,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
14847,Hymenoptera,Female,Colletidae,Hylaeus,S1A,YELLOW
12584,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
12596,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
12545,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
14932,Hymenoptera,Female,Colletidae,Hylaeus,S1P,YELLOW
15127,Hymenoptera,Female,Colletidae,Hylaeus,S4P,YELLOW
12522,Hymenoptera,Female,Colletidae,Hylaeus,Y3A,HAND
19770,Hymenoptera,Female,Colletidae,Hylaeus,Y3P,HAND
12552,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
19795,Hymenoptera,,,,,HAND
12685,Hymenoptera,Female,Colletidae,Hylaeus,Y3P,HAND
12582,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
12485,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
12501,Hymenoptera,Female,Colletidae,Hylaeus,,HAND
14927,Hymenoptera,Female,Andrenidae,Andrena,,
14846,Hymenoptera,Female,Andrenidae,Andrena,,WHITE
12612,Hymenoptera,Female,Andrenidae,Andrena,,
12680,Hymenoptera,Male,Andrenidae,Andrena,,FIELD
15143,Hymenoptera,Male,Andrenidae,Andrena,S1A,YELLOW
12630,Hymenoptera,Female,Apidae,Ceratina,,
12720,Hymenoptera,Female,Andrenidae,Andrena,,
12587,Hymenoptera,Female,Andrenidae,Andrena,,FIELD
12822,Hymenoptera,Female,Andrenidae,Andrena,,
12570,Hymenoptera,Female,Andrenidae,Andrena,,FIELD_PINNED
12746,Hymenoptera,Female,Andrenidae,Andrena,,
12614,Hymenoptera,Female,Apidae,Bombus,,FIELD
12711,Hymenoptera,Female,Apidae,Bombus,,FIELD
12568,Hymenoptera,Female,Apidae,Bombus,,FIELD
12787,Hymenoptera,Female,Apidae,Bombus,,FIELD
12631,Hymenoptera,Female,Apidae,Bombus,,FIELD
12735,Hymenoptera,Female,Apidae,Bombus,,FIELD
1324,Hymenoptera,Female,Apidae,Bombus,,FIELD
12691,Hymenoptera,Female,Apidae,Bombus,,FIELD
12793,Hymenoptera,Female,Apidae,Bombus,,FIELD
12806,Hymenoptera,Female,Apidae,Bombus,,FIELD
12657,Hymenoptera,Drone,Apidae,Bombus,,FIELD
14822,Hymenoptera,Female,Apidae,Bombus,S2A,WHITE
12691,Hymenoptera,Female,Apidae,Bombus,,FIELD
14907,Hymenoptera,Drone,Apidae,Bombus,S3P,BLUE
12657,Hymenoptera,Drone,Apidae,Bombus,,FIELD
12839,Hymenoptera,Female,Megachilidae,Osmia,,FIELD
14899,Hymenoptera,Female,Megachilidae,Osmia,Y3A,YELLOW
12573,Hymenoptera,Male,Megachilidae,Osmia,,FIELD
12710,Hymenoptera,Female,Megachilidae,Osmia,,FIELD
12743,Hymenoptera,Female,Megachilidae,Osmia,,FIELD
12579,Hymenoptera,Female,Megachilidae,Osmia,,FIELD
2032,Hymenoptera,,,,,HAND
12761,Hymenoptera,Female,Megachilidae,Osmia,,FIELD
15146,Hymenoptera,Female,Megachilidae,Megachile,?,?
12644,Hymenoptera,Male,Megachilidae,Megachile,?,?
19023,Hymenoptera,Female,Megachilidae,Megachile,?,Hand
15146,Hymenoptera,Female,Megachilidae,Megachile,?,?
12644,Hymenoptera,Male,Megachilidae,Megachile,?,?
19023,Hymenoptera,Female,Megachilidae,Megachile,?,Hand